Naive Bayes,0.4194,0.52,0.1452,0.6874,0.4643,0.3451,0.6874
Decision Tree,0.4194,0.52,0.1452,0.6874,0.4643,0.3451,0.6874
Nearest Centroid,0.5,0.4,0.0806,0.6597,0.4444,0.3501,0.6597
Naive Bayes,0.6176,0.6176,0.113,0.7523,0.6176,0.5046,0.7523
Decision Tree,0.4359,0.5,0.1913,0.6543,0.4658,0.2947,0.6543
Nearest Centroid,0.6552,0.5588,0.087,0.7359,0.6032,0.5002,0.7359
Naive Bayes,0.4348,0.5882,0.2261,0.6811,0.5,0.329,0.6811
Decision Tree,0.4324,0.4706,0.1826,0.644,0.4507,0.2797,0.644
Nearest Centroid,0.72,0.5294,0.0609,0.7343,0.6102,0.5262,0.7343
Naive Bayes,0.5909,0.7027,0.1607,0.771,0.642,0.5133,0.771
Decision Tree,0.4583,0.5946,0.2321,0.6812,0.5176,0.3351,0.6812
Nearest Centroid,0.6216,0.6216,0.125,0.7483,0.6216,0.4966,0.7483
Naive Bayes,0.5135,0.5278,0.1593,0.6842,0.5205,0.3651,0.6842
Decision Tree,0.3542,0.4722,0.2743,0.5989,0.4048,0.1813,0.5989
Nearest Centroid,0.5862,0.4722,0.1062,0.683,0.5231,0.3957,0.683
Naive Bayes Mean,0.5152,0.5913,0.1609,0.7152,0.5489,0.4114,0.7152
Decision Tree Mean,0.42,0.5115,0.2051,0.6532,0.4606,0.2872,0.6532
Nearest Centroid Mean,0.6166,0.5164,0.0919,0.7122,0.5605,0.4538,0.7122
