Naive Bayes,0.6,0.4737,0.1081,0.6828,0.5294,0.3974,0.6828
Decision Tree,0.3846,0.5263,0.2883,0.619,0.4444,0.2177,0.619
Nearest Centroid,0.7619,0.4211,0.045,0.688,0.5424,0.471,0.688
Naive Bayes,0.4857,0.5152,0.1552,0.68,0.5,0.3526,0.68
Decision Tree,0.3684,0.6364,0.3103,0.663,0.4667,0.2785,0.663
Nearest Centroid,0.5652,0.3939,0.0862,0.6539,0.4643,0.3537,0.6539
Naive Bayes,0.4419,0.6333,0.2017,0.7158,0.5205,0.382,0.7158
Decision Tree,0.3673,0.6,0.2605,0.6697,0.4557,0.2898,0.6697
Nearest Centroid,0.5926,0.5333,0.0924,0.7204,0.5614,0.459,0.7204
Naive Bayes,0.4909,0.8182,0.2414,0.7884,0.6136,0.4963,0.7884
Decision Tree,0.3906,0.7576,0.3362,0.7107,0.5155,0.3535,0.7107
Nearest Centroid,0.6923,0.5455,0.069,0.7382,0.6102,0.5213,0.7382
Naive Bayes,0.5278,0.5938,0.1453,0.7242,0.5588,0.4302,0.7242
Decision Tree,0.3385,0.6875,0.3675,0.66,0.4536,0.265,0.66
Nearest Centroid,0.5714,0.5,0.1026,0.6987,0.5333,0.4178,0.6987
Naive Bayes Mean,0.5093,0.6068,0.1703,0.7182,0.5445,0.4117,0.7182
Decision Tree Mean,0.3699,0.6416,0.3126,0.6645,0.4672,0.2809,0.6645
Nearest Centroid Mean,0.6367,0.4788,0.079,0.6998,0.5423,0.4446,0.6998
