Naive Bayes,0.5,0.48,0.0968,0.6916,0.4898,0.3896,0.6916
Decision Tree,0.3871,0.48,0.1532,0.6634,0.4286,0.3008,0.6634
Nearest Centroid,0.5,0.4,0.0806,0.6597,0.4444,0.3501,0.6597
Naive Bayes,0.6061,0.5882,0.113,0.7376,0.597,0.4803,0.7376
Decision Tree,0.425,0.5,0.2,0.65,0.4595,0.2841,0.65
Nearest Centroid,0.6429,0.5294,0.087,0.7212,0.5806,0.4753,0.7212
Naive Bayes,0.5429,0.5588,0.1391,0.7098,0.5507,0.4155,0.7098
Decision Tree,0.44,0.3235,0.1217,0.6009,0.3729,0.2266,0.6009
Nearest Centroid,0.72,0.5294,0.0609,0.7343,0.6102,0.5262,0.7343
Naive Bayes,0.6216,0.6216,0.125,0.7483,0.6216,0.4966,0.7483
Decision Tree,0.525,0.5676,0.1696,0.699,0.5455,0.3879,0.699
Nearest Centroid,0.6389,0.6216,0.1161,0.7528,0.6301,0.5103,0.7528
Naive Bayes,0.5294,0.5,0.1416,0.6792,0.5143,0.3656,0.6792
Decision Tree,0.5,0.5278,0.1681,0.6798,0.5135,0.3532,0.6798
Nearest Centroid,0.6296,0.4722,0.0885,0.6919,0.5397,0.4264,0.6919
Naive Bayes Mean,0.56,0.5497,0.1231,0.7133,0.5547,0.4295,0.7133
Decision Tree Mean,0.4554,0.4798,0.1625,0.6586,0.464,0.3105,0.6586
Nearest Centroid Mean,0.6263,0.5105,0.0866,0.712,0.561,0.4577,0.712
