Naive Bayes,0.4286,0.1579,0.2,0.4789,0.2308,-0.0548,0.4789
Decision Tree,0.8235,0.7368,0.15,0.7934,0.7778,0.5915,0.7934
Nearest Centroid,0.3333,0.3158,0.6,0.3579,0.3243,-0.285,0.3579
Naive Bayes,0.5,0.08,0.1538,0.4631,0.1379,-0.1142,0.4631
Decision Tree,0.8,0.64,0.3077,0.6662,0.7111,0.3157,0.6662
Nearest Centroid,0.5,0.16,0.3077,0.4262,0.2424,-0.1719,0.4262
Naive Bayes,0.5,0.0909,0.125,0.483,0.1538,-0.0548,0.483
Decision Tree,0.8462,0.5,0.125,0.6875,0.6286,0.3903,0.6875
Nearest Centroid,0.4,0.1818,0.375,0.4034,0.25,-0.2166,0.4034
Naive Bayes,0.3333,0.8182,0.6667,0.5758,0.4737,0.1515,0.5758
Decision Tree,0.5385,0.6364,0.2222,0.7071,0.5833,0.3959,0.7071
Nearest Centroid,0.8,0.7273,0.0741,0.8266,0.7619,0.6727,0.8266
Naive Bayes,0.3043,1.0,0.5161,0.7419,0.4667,0.3838,0.7419
Decision Tree,0.5,1.0,0.2258,0.8871,0.6667,0.6222,0.8871
Nearest Centroid,0.4545,0.7143,0.1935,0.7604,0.5556,0.4451,0.7604
Naive Bayes Mean,0.4132,0.4294,0.3323,0.5485,0.2926,0.0623,0.5485
Decision Tree Mean,0.7016,0.7026,0.2061,0.7483,0.6735,0.4631,0.7483
Nearest Centroid Mean,0.4976,0.4198,0.3101,0.5549,0.4268,0.0889,0.5549
