Naive Bayes,0.4286,0.2195,0.0789,0.5703,0.2903,0.1846,0.5703
Decision Tree,0.2857,0.2439,0.1645,0.5397,0.2632,0.0843,0.5397
Nearest Centroid,0.3913,0.2195,0.0921,0.5637,0.2812,0.1608,0.5637
Naive Bayes,0.5,0.325,0.085,0.62,0.3939,0.285,0.62
Decision Tree,0.3077,0.3,0.1765,0.5618,0.3038,0.1247,0.5618
Nearest Centroid,0.5,0.325,0.085,0.62,0.3939,0.285,0.62
Naive Bayes,0.4242,0.3256,0.1267,0.5995,0.3684,0.2199,0.5995
Decision Tree,0.2955,0.3023,0.2067,0.5478,0.2989,0.0949,0.5478
Nearest Centroid,0.4118,0.3256,0.1333,0.5961,0.3636,0.21,0.5961
Naive Bayes,0.5185,0.4242,0.0813,0.6715,0.4667,0.3723,0.6715
Decision Tree,0.28,0.4242,0.225,0.5996,0.3373,0.1712,0.5996
Nearest Centroid,0.48,0.3636,0.0813,0.6412,0.4138,0.3166,0.6412
Naive Bayes,0.3913,0.2903,0.0864,0.602,0.3333,0.2311,0.602
Decision Tree,0.2821,0.3548,0.1728,0.591,0.3143,0.1664,0.591
Nearest Centroid,0.3704,0.3226,0.1049,0.6088,0.3448,0.2304,0.6088
Naive Bayes Mean,0.45252,0.31692,0.09165999999999999,0.61266,0.37051999999999996,0.25858000000000003,0.61266
Decision Tree Mean,0.29019999999999996,0.32504,0.1891,0.56798,0.3035,0.1283,0.56798
Nearest Centroid Mean,0.43069999999999997,0.31126,0.09931999999999999,0.6059599999999999,0.35946,0.24055999999999997,0.6059599999999999
