Naive Bayes,0.375,0.25,0.1613,0.5444,0.3,0.1023,0.5444
Decision Tree,0.3846,0.8333,0.5161,0.6586,0.5263,0.291,0.6586
Nearest Centroid,0.5556,0.4167,0.129,0.6438,0.4762,0.3171,0.6438
Naive Bayes,0.6667,0.8,0.125,0.8375,0.7273,0.6364,0.8375
Decision Tree,0.36,0.9,0.5,0.7,0.5143,0.3471,0.7
Nearest Centroid,0.6364,0.7,0.125,0.7875,0.6667,0.557,0.7875
Naive Bayes,0.7692,0.5556,0.125,0.7153,0.6452,0.4609,0.7153
Decision Tree,0.68,0.9444,0.3333,0.8056,0.7907,0.6161,0.8056
Nearest Centroid,0.6,0.5,0.25,0.625,0.5455,0.2582,0.625
Naive Bayes,0.6667,0.5,0.0263,0.7368,0.5714,0.5399,0.7368
Decision Tree,0.1579,0.75,0.4211,0.6645,0.2609,0.194,0.6645
Nearest Centroid,1.0,0.5,0.0,0.75,0.6667,0.6892,0.75
Naive Bayes,0.7143,0.5556,0.0606,0.7475,0.625,0.5449,0.7475
Decision Tree,0.4,0.6667,0.2727,0.697,0.5,0.3373,0.697
Nearest Centroid,0.6,0.3333,0.0606,0.6364,0.4286,0.3456,0.6364
Naive Bayes Mean,0.6384,0.5322,0.0996,0.7163,0.5738,0.4569,0.7163
Decision Tree Mean,0.3965,0.8189,0.4086,0.7051,0.5184,0.3571,0.7051
Nearest Centroid Mean,0.6784,0.49,0.1129,0.6885,0.5567,0.4334,0.6885
