Naive Bayes,0.2857,0.4,0.1111,0.6444,0.3333,0.2498,0.6444
Decision Tree,0.2222,0.4,0.1556,0.6222,0.2857,0.1909,0.6222
Nearest Centroid,0.2308,0.6,0.2222,0.6889,0.3333,0.2584,0.6889
Naive Bayes,0.0,0.0,0.1458,0.4271,0.0,-0.0824,0.4271
Decision Tree,0.1333,1.0,0.2708,0.8646,0.2353,0.3118,0.8646
Nearest Centroid,0.0,0.0,0.2292,0.3854,0.0,-0.1084,0.3854
Naive Bayes,0.4,0.6667,0.0638,0.8014,0.5,0.4772,0.8014
Decision Tree,0.3,1.0,0.1489,0.9255,0.4615,0.5053,0.9255
Nearest Centroid,0.2222,0.6667,0.1489,0.7589,0.3333,0.32,0.7589
Naive Bayes,0.0,0.0,0.06,0.94,0.0,0.0,nan
Decision Tree,0.0,0.0,0.3,0.7,0.0,0.0,nan
Nearest Centroid,0.0,0.0,0.12,0.88,0.0,0.0,nan
Naive Bayes,0.8889,0.2105,0.0833,0.5636,0.3404,0.1414,0.5636
Decision Tree,1.0,0.3421,0.0,0.6711,0.5098,0.3331,0.6711
Nearest Centroid,0.8667,0.3421,0.1667,0.5877,0.4906,0.1635,0.5877
Naive Bayes Mean,0.3149,0.2554,0.0928,0.6753,0.2347,0.1572,nan
Decision Tree Mean,0.3311,0.5484,0.1751,0.7567,0.2985,0.2682,nan
Nearest Centroid Mean,0.2639,0.3218,0.1774,0.6602,0.2314,0.1267,nan
