Naive Bayes,0.3846,0.5556,0.129,0.7133,0.4545,0.3669,0.7133
Decision Tree,0.2667,0.4444,0.1774,0.6335,0.3333,0.2176,0.6335
Nearest Centroid,0.5833,0.7778,0.0806,0.8486,0.6667,0.6189,0.8486
Naive Bayes,0.1667,0.25,0.1587,0.5456,0.2,0.077,0.5456
Decision Tree,0.25,0.25,0.0952,0.5774,0.25,0.1548,0.5774
Nearest Centroid,0.2727,0.375,0.127,0.624,0.3158,0.2167,0.624
Naive Bayes,0.1,0.1667,0.1406,0.513,0.125,0.0208,0.513
Decision Tree,0.1111,0.1667,0.125,0.5208,0.1333,0.0348,0.5208
Nearest Centroid,0.1429,0.1667,0.0937,0.5365,0.1538,0.068,0.5365
Naive Bayes,0.125,0.2,0.1077,0.5462,0.1538,0.0747,0.5462
Decision Tree,0.1111,0.2,0.1231,0.5385,0.1429,0.0592,0.5385
Nearest Centroid,0.1667,0.2,0.0769,0.5615,0.1818,0.1132,0.5615
Naive Bayes,0.4348,0.8333,0.2241,0.8046,0.5714,0.4888,0.8046
Decision Tree,0.5,0.5,0.1034,0.6983,0.5,0.3966,0.6983
Nearest Centroid,0.4444,0.6667,0.1724,0.7471,0.5333,0.4262,0.7471
Naive Bayes Mean,0.2422,0.4011,0.152,0.6245,0.3009,0.2056,0.6245
Decision Tree Mean,0.2478,0.3122,0.1248,0.5937,0.2719,0.1726,0.5937
Nearest Centroid Mean,0.322,0.4372,0.1101,0.6635,0.3703,0.2886,0.6635
