Naive Bayes,0.125,0.1111,0.1129,0.4991,0.1176,-0.0019,0.4991
Decision Tree,0.0714,0.1111,0.2097,0.4507,0.087,-0.0824,0.4507
Nearest Centroid,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Naive Bayes,0.375,0.8571,0.1562,0.8504,0.5217,0.5001,0.8504
Decision Tree,0.2069,0.8571,0.3594,0.7489,0.3333,0.3019,0.7489
Nearest Centroid,0.7143,0.7143,0.0313,0.8415,0.7143,0.683,0.8415
Naive Bayes,0.2381,0.7143,0.254,0.7302,0.3571,0.3013,0.7302
Decision Tree,0.1628,1.0,0.5714,0.7143,0.28,0.2641,0.7143
Nearest Centroid,0.2632,0.7143,0.2222,0.746,0.3846,0.332,0.746
Naive Bayes,0.4,0.5714,0.0952,0.7381,0.4706,0.4082,0.7381
Decision Tree,0.1852,0.7143,0.3492,0.6825,0.2941,0.225,0.6825
Nearest Centroid,0.3636,0.5714,0.1111,0.7302,0.4444,0.3794,0.7302
Naive Bayes,0.3125,0.5,0.1833,0.6583,0.3846,0.2639,0.6583
Decision Tree,0.2917,0.7,0.2833,0.7083,0.4118,0.3072,0.7083
Nearest Centroid,0.3846,0.5,0.1333,0.6833,0.4348,0.3299,0.6833
Naive Bayes Mean,0.2901,0.5508,0.1603,0.6952,0.3703,0.2943,0.6952
Decision Tree Mean,0.1836,0.6765,0.3546,0.6609,0.2812,0.2032,0.6609
Nearest Centroid Mean,0.3451,0.5,0.0996,0.7002,0.3956,0.3449,0.7002
