Naive Bayes,0.5,0.4444,0.0645,0.69,0.4706,0.3998,0.69
Decision Tree,0.0,0.0,0.129,0.4355,0.0,-0.1358,0.4355
Nearest Centroid,0.5833,0.7778,0.0806,0.8486,0.6667,0.6189,0.8486
Naive Bayes,0.2222,0.25,0.1111,0.5694,0.2353,0.132,0.5694
Decision Tree,0.4444,0.5,0.0794,0.7103,0.4706,0.3998,0.7103
Nearest Centroid,0.2727,0.375,0.127,0.624,0.3158,0.2167,0.624
Naive Bayes,0.0,0.0,0.125,0.4375,0.0,-0.11,0.4375
Decision Tree,0.0,0.0,0.0625,0.4688,0.0,-0.0754,0.4688
Nearest Centroid,0.2,0.1667,0.0625,0.5521,0.1818,0.1132,0.5521
Naive Bayes,0.2,0.2,0.0615,0.5692,0.2,0.1385,0.5692
Decision Tree,0.0,0.0,0.0615,0.4692,0.0,-0.0683,0.4692
Nearest Centroid,0.2,0.2,0.0615,0.5692,0.2,0.1385,0.5692
Naive Bayes,0.4211,0.6667,0.1897,0.7385,0.5161,0.4043,0.7385
Decision Tree,0.5,0.5833,0.1207,0.7313,0.5385,0.4359,0.7313
Nearest Centroid,0.4444,0.6667,0.1724,0.7471,0.5333,0.4262,0.7471
Naive Bayes Mean,0.2687,0.3122,0.1104,0.6009,0.2844,0.1929,0.6009
Decision Tree Mean,0.1889,0.2167,0.0906,0.563,0.2018,0.1112,0.563
Nearest Centroid Mean,0.3401,0.4372,0.1008,0.6682,0.3795,0.3027,0.6682
