Naive Bayes,0.0,0.0,0.1224,0.4388,0.0,-0.0375,0.4388
Decision Tree,0.0,0.0,0.0816,0.4592,0.0,-0.03,0.4592
Nearest Centroid,0.0,0.0,0.1224,0.4388,0.0,-0.0375,0.4388
Naive Bayes,0.0,0.0,0.3636,0.6364,0.0,0.0,nan
Decision Tree,0.0,0.0,0.0707,0.9293,0.0,0.0,nan
Nearest Centroid,0.0,0.0,0.0707,0.9293,0.0,0.0,nan
Naive Bayes,0.0317,0.5,0.6489,0.4255,0.0597,-0.0615,0.4255
Decision Tree,0.5,0.5,0.0213,0.7394,0.5,0.4787,0.7394
Nearest Centroid,0.0789,0.75,0.3723,0.6888,0.1429,0.1534,0.6888
Naive Bayes,0.1818,0.4,0.0968,0.6516,0.25,0.2114,0.6516
Decision Tree,0.2,0.4,0.086,0.657,0.2667,0.2282,0.657
Nearest Centroid,0.1667,0.2,0.0538,0.5731,0.1818,0.1342,0.5731
Naive Bayes,0.0,0.0,0.2062,0.3969,0.0,-0.0514,0.3969
Decision Tree,0.1429,1.0,0.0619,0.9691,0.25,0.3661,0.9691
Nearest Centroid,0.0,0.0,0.0309,0.4845,0.0,-0.018,0.4845
Naive Bayes Mean,0.0427,0.18,0.2876,0.5098,0.0619,0.0122,0.4782     
Decision Tree Mean,0.1686,0.38,0.0643,0.7508,0.2033,0.2086,0.7062   
Nearest Centroid Mean,0.0491,0.19,0.13,0.6229,0.0649,0.0464,0.5463  
