Naive Bayes,1.0,0.5,0.0,0.75,0.6667,0.2611,0.75
Decision Tree,0.9091,0.5263,0.6667,0.4298,0.6667,-0.0733,0.4298
Nearest Centroid,0.8462,0.2895,0.6667,0.3114,0.4314,-0.2111,0.3114
Naive Bayes,0.88,0.6111,0.6,0.5056,0.7213,0.0075,0.5056
Decision Tree,0.9474,0.5,0.2,0.65,0.6545,0.1969,0.65
Nearest Centroid,0.8235,0.3889,0.6,0.3944,0.5283,-0.1402,0.3944
Naive Bayes,1.0,0.2821,0.0,0.641,0.44,0.1371,0.641
Decision Tree,1.0,0.359,0.0,0.6795,0.5283,0.1631,0.6795
Nearest Centroid,0.9167,0.2821,0.5,0.391,0.4314,-0.1032,0.391
Naive Bayes,0.9524,0.5,1.0,0.25,0.6557,-0.1543,0.25
Decision Tree,1.0,0.725,0.0,0.8625,0.8406,0.2458,0.8625
Nearest Centroid,1.0,0.275,0.0,0.6375,0.4314,0.0957,0.6375
Naive Bayes,1.0,0.5,0.0,0.75,0.6667,0.3297,0.75
Decision Tree,0.9583,0.6389,0.2,0.7194,0.7667,0.2915,0.7194
Nearest Centroid,1.0,0.1667,0.0,0.5833,0.2857,0.1543,0.5833
Naive Bayes Mean,0.9665,0.4786,0.32,0.5793,0.6301,0.1162,0.5793
Decision Tree Mean,0.963,0.5498,0.2133,0.6682,0.6914,0.1648,0.6682
Nearest Centroid Mean,0.9173,0.2804,0.3533,0.4635,0.4216,-0.0409,0.4635
