Naive Bayes,1.0,0.3243,0.0,0.6622,0.4898,0.2115,0.6622
Decision Tree,0.9,0.973,1.0,0.4865,0.9351,-0.052,0.4865
Nearest Centroid,0.9091,0.2703,0.25,0.5101,0.4167,0.0136,0.5101
Naive Bayes,0.9583,0.5897,0.5,0.5449,0.7302,0.0392,0.5449
Decision Tree,0.973,0.9231,0.5,0.7115,0.9474,0.3071,0.7115
Nearest Centroid,0.9444,0.4359,0.5,0.4679,0.5965,-0.0278,0.4679
Naive Bayes,0.9565,0.5946,0.25,0.6723,0.7333,0.206,0.6723
Decision Tree,0.9189,0.9189,0.75,0.5845,0.9189,0.1689,0.5845
Nearest Centroid,0.9091,0.2703,0.25,0.5101,0.4167,0.0136,0.5101
Naive Bayes,1.0,0.4211,0.0,0.7105,0.5926,0.2248,0.7105
Decision Tree,0.9474,0.9474,0.6667,0.6404,0.9474,0.2807,0.6404
Nearest Centroid,0.9091,0.2632,0.3333,0.4649,0.4082,-0.0412,0.4649
Naive Bayes,0.9524,0.5263,0.3333,0.5965,0.678,0.1005,0.5965
Decision Tree,0.9189,0.8947,1.0,0.4474,0.9067,-0.0924,0.4474
Nearest Centroid,0.875,0.3684,0.6667,0.3509,0.5185,-0.1592,0.3509
Naive Bayes Mean,0.9734,0.4912,0.2167,0.6373,0.6448,0.1564,0.6373
Decision Tree Mean,0.9316,0.9314,0.7833,0.5741,0.9311,0.1225,0.5741
Nearest Centroid Mean,0.9093,0.3216,0.4,0.4608,0.4713,-0.0402,0.4608
