Naive Bayes,0.8571,0.3273,0.0882,0.6195,0.4737,0.2735,0.6195
Decision Tree,0.8696,0.7273,0.1765,0.7754,0.7921,0.5356,0.7754
Nearest Centroid,0.88,0.4,0.0882,0.6559,0.55,0.337,0.6559
Naive Bayes,0.9444,0.3269,0.027,0.6499,0.4857,0.368,0.6499
Decision Tree,0.807,0.8846,0.2973,0.7937,0.844,0.6032,0.7937
Nearest Centroid,0.9474,0.3462,0.027,0.6596,0.507,0.3838,0.6596
Naive Bayes,0.8182,0.3103,0.1333,0.5885,0.45,0.1938,0.5885
Decision Tree,0.875,0.8448,0.2333,0.8057,0.8596,0.6026,0.8057
Nearest Centroid,0.8571,0.4138,0.1333,0.6402,0.5581,0.2854,0.6402
Naive Bayes,0.8261,0.3333,0.129,0.6022,0.475,0.2221,0.6022
Decision Tree,0.7377,0.7895,0.5161,0.6367,0.7627,0.2831,0.6367
Nearest Centroid,0.875,0.3684,0.0968,0.6358,0.5185,0.2914,0.6358
Naive Bayes,0.8276,0.4068,0.1724,0.6172,0.5455,0.2344,0.6172
Decision Tree,0.8036,0.7627,0.3793,0.6917,0.7826,0.3746,0.6917
Nearest Centroid,0.7879,0.4407,0.2414,0.5996,0.5652,0.1935,0.5996
Naive Bayes Mean,0.8546799999999999,0.34092,0.10998000000000001,0.61546,0.48597999999999997,0.25836,0.61546
Decision Tree Mean,0.8185800000000001,0.8017799999999999,0.3205,0.74064,0.8082,0.47981999999999997,0.74064
Nearest Centroid Mean,0.86948,0.39382,0.11734,0.6382200000000001,0.53976,0.29822000000000004,0.6382200000000001
