Naive Bayes,0.5,0.5789,0.3333,0.6228,0.5366,0.2394,0.6228
Decision Tree,0.6316,0.6316,0.2121,0.7097,0.6316,0.4195,0.7097
Nearest Centroid,0.5263,0.5263,0.2727,0.6268,0.5263,0.2536,0.6268
Naive Bayes,0.6,0.5455,0.1,0.7227,0.5714,0.4615,0.7227
Decision Tree,0.3158,0.5455,0.325,0.6102,0.4,0.1875,0.6102
Nearest Centroid,0.4545,0.4545,0.15,0.6523,0.4545,0.3045,0.6523
Naive Bayes,0.6154,0.4211,0.1562,0.6324,0.5,0.2938,0.6324
Decision Tree,0.5238,0.5789,0.3125,0.6332,0.55,0.2618,0.6332
Nearest Centroid,0.7692,0.5263,0.0938,0.7163,0.625,0.4799,0.7163
Naive Bayes,0.8,0.4444,0.0606,0.6919,0.5714,0.462,0.6919
Decision Tree,0.625,0.5556,0.1818,0.6869,0.5882,0.3849,0.6869
Nearest Centroid,0.7778,0.3889,0.0606,0.6641,0.5185,0.4115,0.6641
Naive Bayes,0.6429,0.4737,0.1562,0.6587,0.5455,0.3439,0.6587
Decision Tree,0.6875,0.5789,0.1562,0.7113,0.6286,0.4404,0.7113
Nearest Centroid,0.6875,0.5789,0.1562,0.7113,0.6286,0.4404,0.7113
Naive Bayes Mean,0.6317,0.4927,0.1613,0.6657,0.545,0.3601,0.6657
Decision Tree Mean,0.5567,0.5781,0.2375,0.6703,0.5597,0.3388,0.6703
Nearest Centroid Mean,0.6431,0.495,0.1467,0.6742,0.5506,0.378,0.6742
