Naive Bayes,1.0,0.8895,0.0,0.9448,0.9415,0.2058,0.9448
Decision Tree,1.0,0.9834,0.0,0.9917,0.9916,0.4958,0.9917
Nearest Centroid,1.0,0.4144,0.0,0.7072,0.5859,0.0622,0.7072
Naive Bayes,0.9939,0.9101,0.25,0.8301,0.9501,0.3165,0.8301
Decision Tree,0.9889,1.0,0.5,0.75,0.9944,0.7032,0.75
Nearest Centroid,0.9853,0.3764,0.25,0.5632,0.5447,0.0383,0.5632
Naive Bayes,0.9882,0.9333,1.0,0.4667,0.96,-0.028,0.4667
Decision Tree,0.9944,0.9944,0.5,0.7472,0.9944,0.4944,0.7472
Nearest Centroid,1.0,0.4889,0.0,0.7444,0.6567,0.102,0.7444
Naive Bayes,0.9939,0.9162,0.3333,0.7914,0.9535,0.255,0.7914
Decision Tree,0.9944,1.0,0.3333,0.8333,0.9972,0.8142,0.8333
Nearest Centroid,1.0,0.3464,0.0,0.6732,0.5145,0.0931,0.6732
Naive Bayes,1.0,0.8667,0.0,0.9333,0.9286,0.1862,0.9333
Decision Tree,1.0,0.9889,0.0,0.9944,0.9944,0.5741,0.9944
Nearest Centroid,1.0,0.3833,0.0,0.6917,0.5542,0.0585,0.6917
Naive Bayes Mean,0.9952,0.9032,0.3167,0.7933,0.9467,0.1871,0.7933
Decision Tree Mean,0.9955,0.9933,0.2667,0.8633,0.9944,0.6163,0.8633
Nearest Centroid Mean,0.9971,0.4019,0.05,0.6759,0.5712,0.0708,0.6759
