Naive Bayes,0.9608,0.5444,0.0714,0.7365,0.695,0.4062,0.7365
Decision Tree,0.9556,0.9556,0.1429,0.9063,0.9556,0.8127,0.9063
Nearest Centroid,1.0,0.3444,0.0,0.6722,0.5124,0.3329,0.6722
Naive Bayes,0.9216,0.5663,0.1143,0.726,0.7015,0.4167,0.726
Decision Tree,0.9302,0.9639,0.1714,0.8962,0.9467,0.8142,0.8962
Nearest Centroid,0.9545,0.253,0.0286,0.6122,0.4,0.2632,0.6122
Naive Bayes,0.963,0.5778,0.0714,0.7532,0.7222,0.4324,0.7532
Decision Tree,0.9647,0.9111,0.1071,0.902,0.9371,0.762,0.902
Nearest Centroid,0.9375,0.3333,0.0714,0.631,0.4918,0.2506,0.631
Naive Bayes,0.9074,0.5976,0.1429,0.7274,0.7206,0.4176,0.7274
Decision Tree,0.939,0.939,0.1429,0.8981,0.939,0.7962,0.8981
Nearest Centroid,0.8462,0.2683,0.1143,0.577,0.4074,0.1696,0.577
Naive Bayes,0.9167,0.5978,0.2,0.6989,0.7237,0.3262,0.6989
Decision Tree,0.9231,0.913,0.28,0.8165,0.918,0.6242,0.8165
Nearest Centroid,0.9032,0.3043,0.12,0.5922,0.4553,0.1712,0.5922
Naive Bayes Mean,0.9339,0.5768,0.12,0.7284,0.7126,0.3998,0.7284
Decision Tree Mean,0.9425,0.9365,0.1689,0.8838,0.9393,0.7619,0.8838
Nearest Centroid Mean,0.9283,0.3007,0.0669,0.6169,0.4534,0.2375,0.6169
